"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","CPV.FA57.NUM.A","OBS_VALUE","Cabo Verde","Registered mobile money agent outlets","Number","Annual","Units","","","","","","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SWZ.FA66.NUM.A","OBS_VALUE","Eswatini, Kingdom of","Mobile money transactions (during the reference year)","Number","Annual","Units","20884","132458","444307","978027","2094745","4281178","6227346","9271052","14422795","14423664","18685517","23669624","28050396","139288957"
"IMF.STA:FAS(4.0.0)","SWZ.FA63.NUM.A","OBS_VALUE","Eswatini, Kingdom of","Active mobile money accounts","Number","Annual","Units","46036","132855","192618","256056","333393","427927","513287","598028","448014","568973","623663","732159","681092","716651"
"IMF.STA:FAS(4.0.0)","SWZ.FA26N.PTKM2_NUM.A","OBS_VALUE","Eswatini, Kingdom of","Number of commercial bank branches","Per 1,000 square km","Annual","Units","2.732558139534884","2.732558139534884","2.674418604651163","2.674418604651163","3.13953488372093","2.906976744186047","2.616279069767442","2.848837209302326","2.732558139534884","2.848837209302326","2.790697674418605","2.790697674418605","2.906976744186047","2.906976744186047"
"IMF.STA:FAS(4.0.0)","SWZ.FA57.NUM.A","OBS_VALUE","Eswatini, Kingdom of","Registered mobile money agent outlets","Number","Annual","Units","223","279","385","587","814","2033","3539","6681","11084","12544","17072","21283","27408","33029"
"IMF.STA:FAS(4.0.0)","MDG.FA26N.PTKM2_NUM.A","OBS_VALUE","Madagascar, Republic of","Number of commercial bank branches","Per 1,000 square km","Annual","Units","0.324856693508882","0.3540766077398396","0.3815744242007563","0.446888965280165","0.5018906840838776","0.5534547954623582","0.6015812994156067","0.6376761773805431","0.6789274664833276","0.71674114816088","0.8697146785837057","0.89377793056033","0.888621519422482","0.9058095565486421"
"IMF.STA:FAS(4.0.0)","MDG.FA63.NUM.A","OBS_VALUE","Madagascar, Republic of","Active mobile money accounts","Number","Annual","Units","86794","135106","141925","396329","544402","791418","1035898","435017","2260623","2590638","3067880","3804260","4820440","6118287"
"IMF.STA:FAS(4.0.0)","MDG.FA66.NUM.A","OBS_VALUE","Madagascar, Republic of","Mobile money transactions (during the reference year)","Number","Annual","Units","2958516","6349173","8299720","20123980","28728048","54912987","88007466","3644278","294475574","350421863","500707849","726600830","923583159","1266657937"
"IMF.STA:FAS(4.0.0)","MDG.FA57.NUM.A","OBS_VALUE","Madagascar, Republic of","Registered mobile money agent outlets","Number","Annual","Units","1940","3241","4535","7489","10826","13444","19328","8483","51705","62313","85006","115943","158457","204458"
"IMF.STA:FAS(4.0.0)","MUS.FA57.NUM.A","OBS_VALUE","Mauritius","Registered mobile money agent outlets","Number","Annual","Units","","","","","","125","133","132","2082","3371","3866","1729","3024","5085"
"IMF.STA:FAS(4.0.0)","NAM.FA26N.PTKM2_NUM.A","OBS_VALUE","Namibia","Number of commercial bank branches","Per 1,000 square km","Annual","Units","0.212561794750331","0.2149910724046205","0.2210642665403442","0.2356399324660812","0.241713126601805","0.2793669302432922","0.193127573516015","0.2137764335774757","0.2137764335774757","0.2101325170960415","0.1858397405531465","0.1858397405531465","0.1615469640102516","0.183410462898857"
"IMF.STA:FAS(4.0.0)","MUS.FA26N.PTKM2_NUM.A","OBS_VALUE","Mauritius","Number of commercial bank branches","Per 1,000 square km","Annual","Units","106.6599899849775","109.1637456184276","111.6675012518778","113.670505758638","110.6659989984977","104.6569854782173","96.14421632448673","89.13370055082624","86.12919379068603","81.62243365047571","79.61942914371557","77.1156735102654","75.61342013019529","76.11417125688533"
"IMF.STA:FAS(4.0.0)","MUS.FA63.NUM.A","OBS_VALUE","Mauritius","Active mobile money accounts","Number","Annual","Units","","","","","","116169","69541","134512","126070","153287","144388","152947","207642","274689"
"IMF.STA:FAS(4.0.0)","MUS.FA66.NUM.A","OBS_VALUE","Mauritius","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","61376","62598","72538","358053","1267530","3088206","4000905","5619323","8559482"
"IMF.STA:FAS(4.0.0)","GMB.FA57.NUM.A","OBS_VALUE","Gambia, The","Registered mobile money agent outlets","Number","Annual","Units","","","","","","","","","1344","1678","1543","1785","3589","5581"
"IMF.STA:FAS(4.0.0)","GMB.FA63.NUM.A","OBS_VALUE","Gambia, The","Active mobile money accounts","Number","Annual","Units","","","","","","","","","10425","20783","57604","72899","105063","722772"
"IMF.STA:FAS(4.0.0)","GMB.FA66.NUM.A","OBS_VALUE","Gambia, The","Mobile money transactions (during the reference year)","Number","Annual","Units","","","","","","","","","18741","109204200","131118855","144829032","3144346","6116654"
"IMF.STA:FAS(4.0.0)","NAM.FA57.NUM.A","OBS_VALUE","Namibia","Registered mobile money agent outlets","Number","Annual","Units","16","199","199","233","407","998","333","947","173","","2039","2067","1720","1540"
"IMF.STA:FAS(4.0.0)","NAM.FA63.NUM.A","OBS_VALUE","Namibia","Active mobile money accounts","Number","Annual","Units","16426","22160","23755","194114","645903","1082973","952849","1462470","1660960","1351725","2096002","2362509","2800912","3617052"
"IMF.STA:FAS(4.0.0)","GMB.FA26N.PTKM2_NUM.A","OBS_VALUE","Gambia, The","Number of commercial bank branches","Per 1,000 square km","Annual","Units","7.213438735177866","7.411067193675889","7.707509881422925","7.905138339920949","8.300395256916996","8.399209486166008","8.596837944664032","8.49802371541502","8.49802371541502","8.49802371541502","8.695652173913043","8.893280632411067","8.992094861660079","9.189723320158103"
"IMF.STA:FAS(4.0.0)","NAM.FA66.NUM.A","OBS_VALUE","Namibia","Mobile money transactions (during the reference year)","Number","Annual","Units","68991","94500","90494","146357","5609239","10843923","2555794","2927973","7959186","16483829","11408819","14396795","18302996.745","31816109"
"IMF.STA:FAS(4.0.0)","BEN.FA26N.PTKM2_NUM.A","OBS_VALUE","Benin","Number of commercial bank branches","Per 1,000 square km","Annual","Units","1.551968783256474","1.596310748492373","1.684994678964172","1.79141539553033","1.951046470379567","1.995388435615466","1.915572898190848","1.915572898190848","2.38559772969138","2.137282724370344","2.234835047889322","1.977651649521107","1.915572898190848","1.888967719049308"
"IMF.STA:FAS(4.0.0)","GHA.FA63.NUM.A","OBS_VALUE","Ghana","Active mobile money accounts","Number","Annual","Units","","345434","991780","2526588","4868569","8313283","11119376","13056978","14459352","17142677","17900000","20400000","20918000","23500000"
"IMF.STA:FAS(4.0.0)","GNB.FA63.NUM.A","OBS_VALUE","Guinea-Bissau","Active mobile money accounts","Number","Annual","Units","","","","","18819","25591","41942","103850","481133","1297349","1596024","1973039","2458937","3277322"
"IMF.STA:FAS(4.0.0)","GHA.FA26N.PHTADLT_NUM.A","OBS_VALUE","Ghana","Number of commercial bank branches","Per 100,000 adults","Annual","Units","5.440210095859428","5.736525468844282","5.901370160410488","6.129088332913845","7.217664711972545","7.212814169827903","8.684419314080173","8.817350501183314","8.576095472867852","6.345294760356988","11.86892130435783","6.107924354590538","5.846573519457288","5.893520369749958"
"IMF.STA:FAS(4.0.0)","ZMB.FA66.NUM.A","OBS_VALUE","Zambia","Mobile money transactions (during the reference year)","Number","Annual","Units","652965","3878437","9469587","1203877","2838650","6005667","11351176","274698054","517752222","711156958","834121817","1581355224","2242443898","2990936749"
